Cruise,Station,StationName,Date,TimeUTC,Longitude ,Latitude ,Depth,Chla,FluorMax,POC,PON,C_over_N,C_over_Chla,Remarks
ARK-XXXII-1,PS114_004_01 ,HG IV,16/07/2018,12:30,E 4 20.02,79 01.40,10,0.535,,133.41,13.25,10.07,249.4,**C/N in all samples a little higher 
ARK-XXXII-1,PS114_004_01 ,HG IV,16/07/2018,12:30,E 4 20.02,79 01.40,25,1.204,,494.07,59.03,8.37,410.4,higher than in years before
ARK-XXXII-1,PS114_004_01 ,HG IV,16/07/2018,12:30,E 4 20.02,79 01.40,35,3.121,X,571.31,67.37,8.48,183.1,?new software of C/N calculation?
ARK-XXXII-1,PS114_004_01 ,HG IV,16/07/2018,12:30,E 4 20.02,79 01.40,45,2.595,,413.15,46.56,8.87,159.2,
ARK-XXXII-1,PS114_004_01 ,HG IV,16/07/2018,12:30,E 4 20.02,79 01.40,60,1.501,,190.90,21.47,8.89,127.2,*Fluor max is not identical with chla max measured
ARK-XXXII-1,PS114_004_01 ,HG IV,16/07/2018,12:30,E 4 20.02,79 01.40,100,0.715,,175.09,18.55,9.44,244.9,"this is ok, true for most samples"
ARK-XXXII-1,PS114_009_01,HG-S3,17/07/2018,18:35,E 5 02.174,78 36.354,10,0.963,,251.01,37.57,6.68,260.7,
ARK-XXXII-1,PS114_009_01,HG-S3,17/07/2018,18:35,E 5 02.174,78 36.354,20,1.38,,283.71,37.67,7.53,205.6,
ARK-XXXII-1,PS114_009_01,HG-S3,17/07/2018,18:35,E 5 02.174,78 36.354,30,1.909,X,372.50,41.55,8.96,195.1,
ARK-XXXII-1,PS114_009_01,HG-S3,17/07/2018,18:35,E 5 02.174,78 36.354,40,1.467,,280.80,32.67,8.59,191.4,
ARK-XXXII-1,PS114_009_01,HG-S3,17/07/2018,18:35,E 5 02.174,78 36.354,50,0.87,,186.42,39.41,4.73,214.3,
ARK-XXXII-1,PS114_009_01,HG-S3,17/07/2018,18:35,E 5 02.174,78 36.354,100,0.118,,115.58,12.26,9.43,979.5,
ARK-XXXII-1,PS114_012_01,near SV IV,18/07/2018,10:11,E 7 02.127,79 00.729,10,1.942,,436.52,57.00,7.66,224.8,
