Cruise,Station,Longitude_E,Latitude_N,Bottle,Depth,NO3_NO2,QF_NO3_NO2,NO3_NO2_stdDev,QF_NO3_NO2_stdDev,NO3_NO2_CF,QF_NO3_NO2_CF,NO3_NO2_C,QF_NO3_NO2_C,NO3_NO2_C_stdDev,QF_NO3_NO2_C_stdDev,PO4,QF_PO4,PO4_stdDev,QF_PO4_stdDev,PO4_CF,QF_PO4_CF,PO4_C,QF_PO4_C,PO4_C_stdDev,QF_PO4_C_stdDev,NO2,QF_NO2,NO2_stdDev,QF_NO2_stdDev,NO2_CF,QF_NO2_CF,NO2_C,QF_NO2_C,NO2_C_stdDev,QF_NO2_C_stdDev,Si_OH4,QF_Si_OH4, Si_OH4_stdDev,QF_Si_OH4_stdDev,Si_OH4_CF,QF_Si_OH4_CF,Si_OH4_C,QF_Si_OH4_C,Si_OH4_C_stdDev,QF_Si_OH4_C_stdDev,NH4,QF_NH4,NH4_stdDev,QF_NH4_stdDev,NH4_CF,QF_NH4_CF,NH4_C,QF_NH4_C,NH4_C_stdDev,QF_NH4_C_stdDev
PS114,004_01,4.3335,79.0236,21,10,-0.04,0,0,0,1,0,-0.04,0,0,0,0.179,0,0.003,0,0.9087,0,0.163,0,0.003,0,0.009,0,0.001,0,0.7291,0,0.007,0,0.001,0,1.655,0,0.007,0,1.0443,0,1.728,0,0.007,0,0.116,1,0.003,1,1.0213,1,0.118,1,0.003,
PS114,004_01,4.3335,79.0236,14,35,0.11,0,0,0,1,0,0.11,0,0,0,0.221,0,0.003,0,0.9087,0,0.201,0,0.003,0,0.022,0,0,0,0.7291,0,0.016,0,0,0,2.04,0,0,0,1.0443,0,2.13,0,0,0,0.16,1,0.008,1,1.0213,1,0.163,1,0.009,
PS114,004_01,4.3335,79.0236,8,75,9.47,0,0.042,0,1,0,9.47,0,0.042,0,0.72,0,0.002,0,0.9087,0,0.654,0,0.002,0,0.133,0,0,0,0.7291,0,0.097,0,0,0,4.215,0,0.021,0,1.0443,0,4.402,0,0.022,0,0.974,1,0.006,1,1.0213,1,0.995,1,0.006,
PS114,004_01,4.3335,79.0236,5,100,10.365,0,0.021,0,1,0,10.365,0,0.021,0,0.775,0,0.009,0,0.9087,0,0.704,0,0.008,0,0.148,0,0.001,0,0.7291,0,0.108,0,0.001,0,4.26,0,0.028,0,1.0443,0,4.449,0,0.03,0,0.715,1,0.006,1,1.0213,1,0.73,1,0.006,
PS114,004_01,4.3335,79.0236,3,250,12.51,0,0.014,0,1,0,12.51,0,0.014,0,0.858,0,0.01,0,0.9087,0,0.78,0,0.009,0,0.164,0,0.001,0,0.7291,0,0.12,0,0.001,0,4.585,0,0.035,0,1.0443,0,4.788,0,0.037,0,0.163,1,0.002,1,1.0213,1,0.166,1,0.002,
PS114,004_01,4.3335,79.0236,2,500,13.31,0,0.269,0,1,0,13.31,0,0.269,0,0.923,0,0.006,0,0.9087,0,0.838,0,0.006,0,0.016,0,0.001,0,0.7291,0,0.011,0,0.001,0,6.02,0,0.014,0,1.0443,0,6.287,0,0.015,0,0.143,1,0.001,1,1.0213,1,0.146,1,0.001,
PS114,004_01,4.3335,79.0236,1,700,13.745,0,0.035,0,1,0,13.745,0,0.035,0,0.96,0,0.008,0,0.9087,0,0.872,0,0.008,0,0.007,0,0.001,0,0.7291,0,0.005,0,0.001,0,6.52,0,0.028,0,1.0443,0,6.809,0,0.03,0,0.123,1,0.001,1,1.0213,1,0.126,1,0.001,
PS114,004_06,4.3313,79.0234,23,250,12.105,0,0.007,0,1,0,12.105,0,0.007,0,0.809,0,0.001,0,0.9087,0,0.735,0,0.001,0,0.026,0,0.004,0,0.7291,0,0.019,0,0.003,0,4.565,0,0.007,0,1.0443,0,4.767,0,0.007,0,0.117,1,0.001,1,1.0213,1,0.119,1,0.001,
PS114,004_06,4.3313,79.0234,21,500,13.235,0,0.007,0,1,0,13.235,0,0.007,0,0.898,0,0.011,0,0.9087,0,0.816,0,0.01,0,0.01,0,0.001,0,0.7291,0,0.007,0,0.001,0,5.715,0,0.007,0,1.0443,0,5.968,0,0.007,0,0.093,1,0.001,1,1.0213,1,0.094,1,0.001,
PS114,004_06,4.3313,79.0234,17,750,13.925,0,0.078,0,1,0,13.925,0,0.078,0,0.942,0,0.002,0,0.9087,0,0.856,0,0.002,0,0.002,0,0.002,0,0.7291,0,0.001,0,0.002,0,6.69,0,0,0,1.0443,0,6.986,0,0,0,0.097,1,0.001,1,1.0213,1,0.099,1,0.001,
PS114,004_06,4.3313,79.0234,14,997,13.81,0,0.099,0,1,0,13.81,0,0.099,0,0.929,0,0.003,0,0.9087,0,0.844,0,0.003,0,-0.001,0,0,0,0.7291,0,-0.001,0,0,0,6.69,0,0.028,0,1.0443,0,6.986,0,0.03,0,0.092,1,0,1,1.0213,1,0.094,1,0,
PS114,004_06,4.3313,79.0234,10,1200,14.245,0,0.021,0,1,0,14.245,0,0.021,0,0.989,0,0.002,0,0.9087,0,0.898,0,0.002,0,0,0,0,0,0.7291,0,0,0,0,0,7.775,0,0.007,0,1.0443,0,8.12,0,0.007,0,0.102,1,0.003,1,1.0213,1,0.104,1,0.003,
PS114,004_06,4.3313,79.0234,7,1999,15.35,0,0.099,0,1,0,15.35,0,0.099,0,1.032,0,0.002,0,0.9087,0,0.937,0,0.002,0,-0.003,0,0,0,0.7291,0,-0.003,0,0,0,11.485,0,0.078,0,1.0443,0,11.994,0,0.081,0,0.094,1,0.001,1,1.0213,1,0.095,1,0.001,
PS114,004_06,4.3313,79.0234,1,2507,15.295,0,0.007,0,1,0,15.295,0,0.007,0,1.049,0,0.003,0,0.9087,0,0.953,0,0.003,0,0,0,0.003,0,0.7291,0,0,0,0.002,0,11.52,0,0.071,0,1.0443,0,12.031,0,0.074,0,0.113,1,0.002,1,1.0213,1,0.115,1,0.002,
PS114,009_01,5.0413,78.6067,22,10,0.06,0,0,0,1,0,0.06,0,0,0,0.17,0,0.001,0,0.9087,0,0.154,0,0.001,0,0.009,0,0,0,0.7291,0,0.007,0,0,0,1.98,0,0.014,0,1.0554,0,2.09,0,0.015,0,0.34,1,0.003,1,0.9748,1,0.331,1,0.003,
PS114,009_01,5.0413,78.6067,15,30,0.34,0,0,0,1,0,0.34,0,0,0,0.286,0,0.005,0,0.9087,0,0.259,0,0.004,0,0.024,0,0,0,0.7291,0,0.017,0,0,0,2.585,0,0.007,0,1.0554,0,2.728,0,0.007,0,1.069,1,0.008,1,0.9748,1,1.042,1,0.008,
PS114,009_01,5.0413,78.6067,8,75,7.195,0,0.007,0,1,0,7.195,0,0.007,0,0.644,0,0.001,0,0.9087,0,0.585,0,0.001,0,0.227,0,0,0,0.7291,0,0.166,0,0,0,3.695,0,0.007,0,1.0554,0,3.9,0,0.007,0,1.839,1,0.009,1,0.9748,1,1.792,1,0.009,
