Station,Date,Time,Latitude,Longitude,Depth,Gear,Action,Comment
PS114_0_Underway-1,2018-07-10,06:00,53.56681,8.55505,NA,WST,profile_start,
PS114_0_Underway-2,2018-07-11,08:26,56.95065,5.53887,46,ADCP_150,profile_start,
PS114_0_Underway-2,2018-08-02,11:01,71.62816,14.9122,193,ADCP_150,profile_end,
PS114_0_Underway-3,2018-07-12,09:49,61.73438,4.19111,222,FBOX,profile_start,
PS114_0_Underway-3,2018-08-01,11:10,73.99038,5.01289,3090,FBOX,profile_end,
PS114_0_Underway-4,2018-07-12,09:49,61.73653,4.19129,218,PCO2_GO,profile_start,
PS114_0_Underway-4,2018-07-20,07:23,78.18307,-0.00039,3055,PCO2_GO,profile_end,
PS114_0_Underway-5,2018-07-12,09:49,61.73522,4.19117,219,PCO2_SUB,profile_start,
PS114_0_Underway-5,2018-08-01,11:09,73.99235,5.00384,2743,PCO2_SUB,profile_end,
PS114_0_Underway-6,2018-07-11,15:03,58.12284,4.7719,NA,SVP,profile_start,
PS114_0_Underway-6,2018-07-12,05:24,60.85319,4.16985,9,SVP,profile_end,
PS114_0_Underway-6,2018-07-12,09:49,61.73438,4.19111,222,SVP,profile_start,
PS114_0_Underway-6,2018-08-03,04:49,69.80087,19.36522,189,SVP,profile_end,
PS114_0_Underway-7,2018-07-11,15:00,58.11196,4.7786,NA,TSG_KEEL,profile_start,
PS114_0_Underway-7,2018-07-12,05:24,60.85319,4.16985,9,TSG_KEEL,profile_end,
PS114_0_Underway-7,2018-07-12,09:49,61.73438,4.19111,222,TSG_KEEL,profile_start,
PS114_0_Underway-7,2018-08-02,13:15,71.40439,15.79685,1275,TSG_KEEL,profile_end,
PS114_0_Underway-8,2018-07-11,15:00,58.11186,4.77866,NA,TSG_KEEL_2,profile_start,
PS114_0_Underway-8,2018-07-12,05:24,60.85319,4.16985,9,TSG_KEEL_2,profile_end,
PS114_0_Underway-8,2018-07-12,09:49,61.73438,4.19111,222,TSG_KEEL_2,profile_start,
PS114_0_Underway-8,2018-08-02,13:14,71.40522,15.79357,1275,TSG_KEEL_2,profile_end,
PS114_0_Underway-9,2018-07-12,09:49,61.73438,4.19111,222,AFIM,profile_start,
PS114_0_Underway-9,2018-08-03,04:49,69.80021,19.35712,198,AFIM,profile_end,
PS114_0_Underway-10,2018-07-12,09:49,61.73438,4.19111,222,HVAIR,profile_start,
PS114_0_Underway-10,2018-08-01,11:10,73.99038,5.01289,3090,HVAIR,profile_end,
PS114_1-1,2018-07-16,03:18,79.01969,4.24412,2521,MOOR,retrieval_start,HG-IV-S-2
PS114_1-1,2018-07-16,05:40,79.0099,4.22575,2547,MOOR,retrieval_end,HG-IV-S-2
PS114_2-1,2018-07-16,06:09,78.99757,4.32961,2528,MOOR,retrieval_start,HG-IV-FEVI-36
PS114_2-1,2018-07-16,08:21,78.97839,4.30709,2569,MOOR,retrieval_end,HG-IV-FEVI-36
