season,regime,trophicLevel,cellDensity,cellDensitySD,cellDensitySE,ESD,cellVolume,cellDensityCImin,cellDensityCImax,scenario,NperCell_MDL,NperCell_Verity,NperCell_Montagnes,NperCell_Moal,Ndensity_MDL,Ndensity_Verity,Ndensity_Montagnes,Ndensity_Moal
summer,warm,autotroph,4.39853644362746E-11,2.17485546199065E-11,2.17485546199065E-12,0.5,0.065449846949787,1E-06,4.82480811417763E-11,S1,0.011657044079319,0.007625849651576,0.001057311560717,0.006639073868887,5.12739332078559E-19,3.35425776060808E-19,4.65062343208226E-20,2.92022083642325E-19
summer,warm,autotroph,1.03035686783303E-10,4.9578414243676E-11,4.9578414243676E-12,0.505789727129949,0.067749896380434,1E-06,1.12753055975063E-10,S1,0.012003929571204,0.007859288634221,0.001095337561536,0.006834039754238,1.23683312746741E-18,8.0978720205516E-19,1.12858857912393E-19,7.04149979582332E-19
summer,warm,autotroph,2.39256491304075E-10,1.11998173343222E-10,1.11998173343222E-11,0.511646496140377,0.070130774531544,1E-06,2.61208133279346E-10,S1,0.012361137537952,0.008099873543039,0.001134731159941,0.007034731091242,2.95748239585744E-18,1.93794732391424E-18,2.71491795900855E-19,1.68310507815824E-18
summer,warm,autotroph,5.50728751316857E-10,2.50715871923012E-10,2.50715871923012E-11,0.517571083339672,0.072595321899483,1E-06,5.99869062213767E-10,S1,0.012728975151496,0.008347823125818,0.001175541541308,0.007241316015962,7.01021259072654E-18,4.5973862062955E-18,6.47404525165834E-19,3.98800092736151E-18
summer,warm,autotroph,1.25664121577443E-09,5.56162743063635E-10,5.56162743063635E-11,0.52356427402545,0.075146478801815,1E-06,1.3656491134149E-09,S1,0.013107758724465,0.00860336282655,0.001217819659957,0.007453967602018,1.64717498595891E-17,1.08113403221038E-17,1.53036237808212E-18,9.36696290974334E-18
summer,warm,autotroph,2.84240626851733E-09,1.22255335751152E-09,1.22255335751152E-10,0.529626862588645,0.077787288885234,1E-06,3.08202672658959E-09,S1,0.013497813982188,0.008866724990415,0.001261618302767,0.007672864005584,3.83662710742514E-17,2.52028346939762E-17,3.5860317722606E-18,2.18093967469542E-17
summer,warm,autotroph,6.37329907431948E-09,2.66303220318789E-09,2.66303220318789E-10,0.535759652618803,0.080520902756773,1E-06,6.8952533861443E-09,S1,0.013899476342794,0.009138149075039,0.001306992155089,0.007898188614645,8.85855197090522E-17,5.82401570409388E-17,8.32985189216904E-18,5.0337518186518E-17
summer,warm,autotroph,1.41660237101406E-08,5.74810373371668E-09,5.74810373371668E-10,0.541963457010602,0.083350581742623,1E-06,1.52926520419491E-08,S1,0.014313091205645,0.00941788186821,0.00135399786902,0.008130130202634,2.02759589384568E-16,1.3341393784436E-16,1.91807659160201E-17,1.1517161721705E-16
summer,warm,autotroph,3.12132955641727E-08,1.22944585855647E-08,1.22944585855647E-09,0.548239098071592,0.086279701779043,1E-06,3.36230094469434E-08,S1,0.014739014248355,0.009706177712271,0.001402694134141,0.008368883086589,4.60053208058448E-16,3.02961793731494E-16,4.37827065950785E-17,2.61220421323693E-16
summer,warm,autotroph,6.81776494777981E-08,2.60572179755494E-08,2.60572179755494E-09,0.554587407631201,0.089311757440006,1E-06,7.32848642010058E-08,S1,0.015177611732644,0.010003298735376,0.00145314175079,0.00861464728994,1.03477389261835E-15,6.82001394802173E-16,9.90717889269139E-17,5.87326403308418E-16
summer,warm,autotroph,1.47624416887434E-07,5.47240036608798E-08,5.47240036608798E-09,0.561009227150982,0.092450366106388,1E-06,1.58350321604966E-07,S1,0.015629260819299,0.010309515089825,0.001505403705978,0.008867628710097,2.30726051483067E-15,1.52193615352758E-15,2.22234344275114E-16,1.30907851750232E-15
summer,warm,autotroph,3.16877556225289E-07,1.13882341853948E-07,1.13882341853948E-08,0.567505407836158,0.095699272281665,1E-06,3.39198495228662E-07,S1,0.0160943498925,0.010625105197694,0.00155954525203,0.009128039290937,5.09993826296999E-15,3.36685736968173E-15,4.9418488828597E-16,2.89247078364038E-15
summer,warm,autotroph,6.74288193083422E-07,2.34834200695817E-07,2.34834200695817E-08,0.574076810748442,0.099062352059279,1E-06,7.20315696419802E-07,S1,0.016573278893801,0.010950356003987,0.00161563398806,0.009396097200372,1.11751662787685E-14,7.38369576354834E-15,1.08940292249317E-15,6.33567740327508E-15
summer,warm,autotroph,1.4224088840701E-06,4.7983361779865E-07,4.7983361779865E-08,0.580724306920171,0.102543617746994,1.32836149498157E-06,1.51645627315864E-06,S1,0.017066459666054,0.011285563237536,0.00167373994437,0.009672027013129,2.4275483848619E-14,1.60526854108066E-14,2.38074256649477E-15,1.37575771504405E-14
summer,warm,autotroph,2.97462762750733E-06,9.71499399536725E-07,9.71499399536725E-08,0.587448777469765,0.106147222653762,2.78421374519814E-06,3.16504150981653E-06,S1,0.017574316307559,0.011631031679889,0.001733935669887,0.00995605989889,5.22770468230168E-14,3.45979881714108E-14,5.15781294796689E-15,2.96155708363554E-14
summer,warm,autotroph,6.16701283853321E-06,1.9490158548944E-06,1.9490158548944E-07,0.594251113718509,0.10987746604481,5.78500573097391E-06,6.54901994609252E-06,S1,0.018097285536757,0.011987075442423,0.001796296322747,0.010248433815965,1.11606192247783E-13,7.39244481498875E-14,1.10777824841933E-14,6.32022229179167E-14
summer,warm,autotroph,1.26752487543383E-05,3.87443069965459E-06,3.87443069965459E-07,0.601132217308706,0.11373879827086,1.1915860337206E-05,1.34346371714706E-05,S1,0.018635817067777,0.012354018251948,0.001860899764134,0.010549393710652,2.3621361707442E-13,1.56590254459078E-13,2.35873674172827E-14,1.33716189489968E-13
summer,warm,autotroph,2.58275562502276E-05,7.63166236441369E-06,7.63166236441369E-07,0.608093000323184,0.117735826077603,2.43317504268025E-05,2.73233620736526E-05,S1,0.019190373997154,0.012732193745051,0.001927826655491,0.010859191722444,4.95640463874404E-13,3.28841450139097E-13,4.9791051385375E-14,2.80466385043428E-13
summer,warm,autotroph,5.21749037868767E-05,1.48952745645581E-05,1.48952745645581E-06,0.615134385406191,0.121873318101753,4.92554299722233E-05,5.50943776015301E-05,S1,0.019761433202058,0.013121945771446,0.001997160559237,0.011178087395271,1.03105087600816E-12,6.84636258121785E-13,1.04201660025122E-13,5.83215634369584E-13
summer,warm,autotroph,0.000104495702084,2.88068498504578E-05,2.88068498504578E-06,0.622257305885692,0.126156210560249,9.88495595134171E-05,0.000110141844655,S1,0.020349485750372,0.013523628706615,0.002068988043095,0.011506347894943,2.12643380053564E-12,1.41316107642255E-12,2.16200358166872E-13,1.20236390170605E-12
summer,warm,autotroph,0.000207491917136,5.5202802658821E-05,5.5202802658821E-06,0.629462705897084,0.130589613139392,0.000196672167814,0.000218311666457,S1,0.020955037322974,0.013937607774022,0.002143398788181,0.011844248232973,4.34800086779029E-12,2.89194095731465E-12,4.44737923745688E-13,2.45758577288848E-12
summer,warm,autotroph,0.000408486938347,0.000104820272166,1.04820272166463E-05,0.636751540508331,0.135178815090927,0.000387942165002,0.000429031711691,S1,0.021578608648586,0.014364259377178,0.002220485700973,0.012192071496981,8.81457978064524E-12,5.86761233460303E-12,9.07039405633331E-13,4.98030195790727E-12
summer,warm,autotroph,0.0007973305762,0.000197219325802,1.97219325802311E-05,0.644124775846567,0.139929291542369,0.000758675588342,0.000835985564057,S1,0.022220735951557,0.014803971441887,0.002300345029311,0.012550109087859,1.77172721998365E-11,1.18036590798039E-11,1.83413542767908E-12,1.0006585710392E-11
summer,warm,autotroph,0.001543091850452,0.000367684674233,3.67684674233497E-05,0.65158338922615,0.144846710029073,0.001471025654303,0.001615158046602,S1,0.022881971412979,0.015257143768958,0.002383076482573,0.012918660963903,3.5308983609649E-11,2.35431742110575E-11,3.67730589926271E-12,1.99346804521548E-11
summer,warm,autotroph,0.002961072488707,0.000679244264778,6.79244264777898E-05,0.659128369278204,0.149936937255869,0.00282794061281,0.003094204364603,S1,0.023562883645521,0.015724188397717,0.002468783356161,0.013298035892112,6.97714065173498E-11,4.65604616717214E-11,7.31024647650573E-12,3.93764482339687E-11
summer,warm,autotroph,0.005634067142492,0.001243380696059,0.000124338069606,0.666760716081662,0.155206046096305,0.005390364526064,0.005877769758919,S1,0.024264058182393,0.016205529980648,0.002557572660479,0.01368855170687,1.36705332948921E-10,9.1303043990628E-11,1.44095360909374E-11,7.7122219399972E-11
