Year	ARK_oder_PS	Leg	Latitude	Longitude	Date	HG_stations	Station	EventNumber	Depth	chl_a	chl_a_fracSmall	chl_a_fracLarge	nameslessVar	POC	PON	comments
2009	24	2	79.0672	4.1962	11/07/2009		104	PS74/104-1	10	0.79				337.97	38.97	HG stations erst ab 2013
2009	24	2	79.0672	4.1962	11/07/2009		104	PS74/104-1	20	1.147						
2009	24	2	79.0672	4.1962	11/07/2009		104	PS74/104-1	25	1.846				195.47	20.97	
2009	24	2	79.0672	4.1962	11/07/2009		104	PS74/104-1	50	0.094				71.02	4.99	
2009	24	2	79.0672	4.1962	11/07/2009		104	PS74/104-1	100	0.015						
2009	24	2	79.0595	3.5767	12/07/2009		106	PS74/106-1	10	1.574				309.46	46.29	
2009	24	2	79.0595	3.5767	12/07/2009		106	PS74/106-1	25	2.351				246.9	29.31	
2009	24	2	79.0595	3.5767	12/07/2009		106	PS74/106-1	40	2.288				287.02	34.12	
2009	24	2	79.0595	3.5767	12/07/2009		106	PS74/106-1	50	2.539				238.2	29.29	
2009	24	2	79.0595	3.5767	12/07/2009		106	PS74/106-1	60	1.489				219	31.7	
2009	24	2	79.0595	3.5767	12/07/2009		106	PS74/106-1	100	0.034				80.03	10.13	
2009	24	2	79.1125	4.5645	12/07/2009		107	PS74/107-1	10	1.627						
2009	24	2	79.1125	4.5645	12/07/2009		107	PS74/107-1	15	1.509						
2009	24	2	79.1125	4.5645	12/07/2009		107	PS74/107-1	40	1.251						
2009	24	2	79.1125	4.5645	12/07/2009		107	PS74/107-1	50	0.337						
2009	24	2	79.1125	4.5645	12/07/2009		107	PS74/107-1	75	0.094						
2009	24	2	79.1125	4.5645	12/07/2009		107	PS74/107-1	100	0.023						
2009	24	2	79.13	4.9045	13/07/2009		108	PS74/108-1	10	0.757						
2009	24	2	79.13	4.9045	13/07/2009		108	PS74/108-1	20	1.436						
2009	24	2	79.13	4.9045	13/07/2009		108	PS74/108-1	30	1.774						
2009	24	2	79.13	4.9045	13/07/2009		108	PS74/108-1	50	1.654						
2009	24	2	79.13	4.9045	13/07/2009		108	PS74/108-1	65	0.08						
2009	24	2	79.13	4.9045	13/07/2009		108	PS74/108-1	80	0.083						
2009	24	2	79.1342	6.0957	13/07/2009		109	PS74/109-1	15	1.391				178.52	29.07	
2009	24	2	79.1342	6.0957	13/07/2009		109	PS74/109-1	35	1.495				140.41	22.98	
2009	24	2	79.1342	6.0957	13/07/2009		109	PS74/109-1	40	1.162				117.62	11.02	
2009	24	2	79.1342	6.0957	13/07/2009		109	PS74/109-1	55	0.738				109.21	 	
2009	24	2	79.1342	6.0957	13/07/2009		109	PS74/109-1	75	0.163				56.98	 	
2009	24	2	79.1342	6.0957	13/07/2009		109	PS74/109-1	100	0.044				33.39	 	
2009	24	2	79.0588	3.4813	14/07/2009		112	PS74/112-1	10	0.827				191.81	31.42	
2009	24	2	79.0588	3.4813	14/07/2009		112	PS74/112-1	20	0.934				195.68	30.18	
2009	24	2	79.0588	3.4813	14/07/2009		112	PS74/112-1	30	0.691				81.71	10.78	
2009	24	2	79.0588	3.4813	14/07/2009		112	PS74/112-1	60	0.15				52.32	 	
2009	24	2	79.7293	4.4783	15/07/2009		116	PS74/116-1	10	0.641				149.38	21.45	
2009	24	2	79.7293	4.4783	15/07/2009		116	PS74/116-1	20	0.758				152.18	21.72	
2009	24	2	79.7293	4.4783	15/07/2009		116	PS74/116-1	30	3.569						
2009	24	2	79.7293	4.4783	15/07/2009		116	PS74/116-1	40	2.154				269.35	 	
2009	24	2	79.7293	4.4783	15/07/2009		116	PS74/116-1	70	0.596				98.58	7.62	
2009	24	2	79.7293	4.4783	15/07/2009		116	PS74/116-1	100	0.176						
2009	24	2	79.6013	5.1693	16/07/2009		118	PS74/118-1	20	0.765				199.11	32.76	
